,Question Name, No.of Views, No.of answers, No.of Votes, Question id, Tags, Date 
0,My computer boots to a black screen what options do I have to fix it?,1300000.0,32,451,162075, boot,7/10/2012
1,How do I install Ubuntu alongside a pre-installed Windows with UEFI?,1700000.0,12,544,221835, dual-boot system-installation uefi windows-8 windows-10,12/11/2012
2,How do I install Ubuntu?,168000.0,2,158,6328, system-installation,10/12/2010
3,Installing Broadcom Wireless Drivers,1400000.0,42,317,55868, networking drivers wireless software-installation broadcom,9/7/2011
4,How to remove Ubuntu and put Windows back on?,1400000.0,16,185,133533, windows disk,5/28/2012
5,How do I resolve unmet dependencies after adding a PPA?,873000.0,14,521,140246, apt software-installation package-management ppa dependencies,5/21/2012
6,How can I repair grub? (How to get Ubuntu back after installing Windows?),647000.0,11,331,88384, dual-boot grub2 windows boot-repair,12/17/2011
7,How to install software or upgrade from an old unsupported release?,473000.0,9,375,91815, release-management,12/31/2011
8,How do I report a bug?,57000.0,7,450,5121, bug-reporting,10/3/2010
9,How do I find out which version and derivative of Ubuntu is right for my hardware in terms of minimal system requirements?,87000.0,8,134,206407, hardware versions compatibility system-requirements distro-recommendation,10/25/2012
10,Unity doesn't load no Launcher no Dash appears,551000.0,34,545,17381, unity,12/14/2010
11,How do I reset a lost administrative password?,2200000.0,15,625,24006, password-recovery,1/30/2011
12,How can I fix a 404 Error when using a PPA or updating my package lists?,501000.0,8,252,65911, apt ppa repository,10/14/2011
13,How to resize partitions?,320000.0,4,108,126153, partitioning,4/27/2012
14,Ubuntu gets stuck in a login loop,851000.0,45,442,223501, login lightdm login-screen,11/29/2012
15,My wireless/WiFi connection does not work. What information is needed to diagnose the issue?,244000.0,3,95,425155, wireless,2/23/2014
16,How to use manual partitioning during installation?,1100000.0,6,217,343268, partitioning system-installation,9/9/2013
17,What should I do when Ubuntu freezes?,575000.0,45,591,4408, bug-reporting,9/20/2010
18,Unable to mount Windows (NTFS) filesystem due to hibernation,832000.0,21,316,145902, windows mount ntfs hibernate,6/3/2012
19,How do I recover my accidentally lost Windows partitions after installing Ubuntu?,134000.0,3,53,286181, ntfs data-recovery partitions,4/26/2013
